adult;a person who is fully grown or developed
advice;guidance or recommendations offered with regard to prudent action
arrangement;the action, process, or result of arranging or being arranged
attempt;make an effort to achieve or complete 
august;the eighth month of the year
autumn; the season after summer and before winter
official;relating to an authority or public body and its activities and responsibilities
palace;a large and impressive building forming the official residence of a ruler, pope, archbishop
plates;a flat dish
poetry;literary work in which the expression of feelings and ideas is given intensity by the use of distinctive style and rhythm
policeman;a male member of a police force.
university;a high-level educational institution in which students study for degrees and academic research is done
vapor;a substance diffused or suspended in the air, especially one normally liquid or solid
vessel;a ship or large boat
wealth;an abundance of valuable possessions or money: he used his considerable wealth to bribe officials
wolf;a wild carnivorous mammal which is the largest member of the dog family, living and hunting in packs
zoo;an establishment which maintains a collection of wild animals, typically in a park or gardens, for study, conservation, or display to the public